game_number,payoff1,payoff_A,payoff_B,payoff_C,A,B,C
0,50,42,34,26,60,70,80
1,50,47,44,40,60,70,80
2,50,40,30,20,60,70,80
3,50,44,38,31,60,70,80
4,50,31,11,-9,60,70,80
5,50,41,33,24,60,70,80
6,50,-23,-98,-175,60,70,80
7,50,24,-2,-28,60,70,80
8,50,-3,-56,-110,60,70,80
9,50,18,-14,-46,60,70,80
10,50,-23,-98,-175,60,70,80
11,50,4,-42,-89,60,70,80
12,50,-3,-56,-110,60,70,80
13,50,-23,-98,-175,60,70,80
14,50,40,30,20,60,70,80
15,50,49,48,47,60,70,80
16,50,48,47,45,60,70,80
17,50,49,47,45,60,70,80
18,50,48,45,43,60,70,80
19,50,48,46,44,60,70,80
20,50,46,41,37,60,70,80
21,50,49,47,45,60,70,80
22,50,46,42,38,60,70,80
23,50,45,40,34,60,70,80
24,50,41,33,24,60,70,80
25,50,40,30,20,60,70,80
26,50,34,17,0,60,70,80
27,50,10,-31,-72,60,70,80
28,50,22,-7,-37,60,70,80
